RSI,ATR_Pct,BB_Position,BB_Width,MACD,MACD_Hist,MACD_Signal,Date,ClosePrice,NextOpen,OvernightReturn,Volume,Ticker,RSI_Bin,BB_Bin,ATR_Bin,MACD_Bin
67.81,1.198,71.19,8.35,3.1092,0.5985,2.5108,2026-05-01,280.1499938964844,276.8399963378906,-1.1815090596849376,69553265,AAPL,60-70,70-90%,1-2%,>0.5
60.47,1.103,45.7,6.16,1.2699,-0.5851,1.855,2026-05-04,276.8399963378906,284.1700134277344,2.647744974283728,32281624,AAPL,60-70,30-50%,1-2%,<-0.5
62.24,0.783,80.82,4.38,2.3864,0.375,2.0114,2026-05-05,284.1700134277344,287.5299987792969,1.1823856117095133,35568519,AAPL,60-70,70-90%,<1%,0.1 to 0.5
83.43,0.793,81.23,5.98,2.9713,0.291,2.6803,2026-05-06,287.5299987792969,287.4700012207031,-0.020866538743247176,39976395,AAPL,>70,70-90%,<1%,0.1 to 0.5
61.82,0.743,61.1,3.89,2.5258,-0.3311,2.8568,2026-05-07,287.4700012207031,293.2799987792969,2.0210796027141598,34110626,AAPL,60-70,50-70%,<1%,-0.5 to -0.1
67.13,0.722,81.91,3.95,3.0181,0.0276,2.9905,2026-05-08,293.2799987792969,292.739990234375,-0.18412730058972038,38340021,AAPL,60-70,70-90%,<1%,0 to 0.1
68.09,0.661,65.49,2.94,2.0504,-0.4248,2.4753,2026-05-11,292.739990234375,294.8699951171875,0.7276098086589355,29620502,AAPL,60-70,50-70%,<1%,-0.5 to -0.1
59.62,0.528,91.46,1.37,1.8935,-0.1705,2.0641,2026-05-12,294.8699951171875,298.8800048828125,1.3599246556202926,32207107,AAPL,50-60,>90%,<1%,-0.5 to -0.1
82.08,0.527,84.0,3.71,2.5383,0.2152,2.3231,2026-05-13,298.8800048828125,298.1650085449219,-0.2392252162104258,38298144,AAPL,>70,70-90%,<1%,0.1 to 0.5
64.94,0.611,61.17,2.88,1.8511,-0.2748,2.1259,2026-05-14,298.1650085449219,300.2200012207031,0.689213226531793,26916267,AAPL,60-70,50-70%,<1%,-0.5 to -0.1
55.28,0.669,61.2,2.08,1.8778,-0.1646,2.0424,2026-05-15,300.2200012207031,297.8999938964844,-0.772769074274049,41065112,AAPL,50-60,50-70%,<1%,-0.5 to -0.1
49.17,0.732,40.07,2.94,0.19,-0.6067,0.7967,2026-05-18,297.8999938964844,298.9800109863281,0.36254350855040585,27456927,AAPL,40-50,30-50%,<1%,<-0.5
44.65,0.609,55.47,3.04,0.2391,-0.0366,0.2757,2026-05-19,298.9800109863281,302.2650146484375,1.0987368858781599,27227276,AAPL,40-50,50-70%,<1%,-0.1 to 0
78.04,0.528,94.98,2.86,1.0954,0.4082,0.6872,2026-05-20,302.2650146484375,305.0899963378906,0.9346042553878942,27961261,AAPL,>70,>90%,<1%,0.1 to 0.5
89.51,0.527,87.03,3.59,1.8486,0.4151,1.4335,2026-05-21,305.0899963378906,308.8800048828125,1.2422591990608467,27156274,AAPL,>70,70-90%,<1%,0.1 to 0.5
77.27,0.547,75.9,4.87,2.7688,0.2849,2.484,2026-05-22,308.8800048828125,308.4200134277344,-0.1489223801497408,34968851,AAPL,>70,70-90%,<1%,0.1 to 0.5
59.45,0.962,,,1.3226,0.6782,0.6444,2026-03-03,403.7799987792969,405.0,0.302145035512269,29160883,MSFT,50-60,,<1%,>0.5
61.02,0.961,62.25,4.36,2.3328,0.4091,1.9237,2026-03-04,405.0,410.7200012207031,1.4123459804205263,28327467,MSFT,60-70,50-70%,<1%,0.1 to 0.5
67.34,0.897,85.91,2.82,2.4668,0.1943,2.2725,2026-03-05,410.7200012207031,408.6199951171875,-0.5112987186585038,30812972,MSFT,60-70,70-90%,<1%,0.1 to 0.5
63.18,0.77,45.88,1.8,1.8761,-0.3682,2.2443,2026-03-06,408.6199951171875,409.45001220703125,0.2031268904512995,25187816,MSFT,60-70,30-50%,<1%,-0.5 to -0.1
46.84,0.715,59.06,2.0,0.5558,-0.4667,1.0225,2026-03-09,409.45001220703125,405.760009765625,-0.9012095082172045,23110487,MSFT,40-50,50-70%,<1%,-0.5 to -0.1
44.61,0.752,31.46,2.22,-0.2566,-0.4167,0.1601,2026-03-10,405.760009765625,404.82000732421875,-0.23166463396656622,24588764,MSFT,40-50,30-50%,<1%,-0.5 to -0.1
37.04,0.661,40.41,1.77,-0.7855,-0.2124,-0.5731,2026-03-11,404.82000732421875,401.8900146484375,-0.7237766470950757,18919391,MSFT,30-40,30-50%,<1%,-0.5 to -0.1
35.82,0.626,2.85,1.32,-0.8497,-0.1217,-0.728,2026-03-12,401.8900146484375,395.6099853515625,-1.5626238692117322,20103779,MSFT,30-40,<10%,<1%,-0.5 to -0.1
20.98,0.697,10.31,3.57,-2.6339,-0.7651,-1.8688,2026-03-13,395.6099853515625,399.9599914550781,1.099569339648987,21934960,MSFT,<30,10-30%,<1%,<-0.5
42.53,0.622,53.47,3.18,-1.3972,0.462,-1.8592,2026-03-16,399.9599914550781,399.5,-0.11500936716311028,21014863,MSFT,40-50,50-70%,<1%,0.1 to 0.5
70.41,0.514,71.46,1.6,-0.7295,0.3623,-1.0917,2026-03-17,399.5,391.67498779296875,-1.9587014285434967,12440519,MSFT,>70,70-90%,<1%,0.1 to 0.5
25.98,0.573,2.93,2.92,-2.1362,-0.5165,-1.6197,2026-03-18,391.67498779296875,388.87799072265625,-0.714111739958978,13516680,MSFT,<30,<10%,<1%,<-0.5
21.2,0.604,24.2,4.51,-3.0286,-0.3473,-2.6813,2026-03-19,388.87799072265625,381.8699951171875,-1.8021065148083326,17950777,MSFT,<30,10-30%,<1%,-0.5 to -0.1
18.93,0.652,13.21,4.41,-3.9082,-0.4013,-3.507,2026-03-20,381.8699951171875,382.9800109863281,0.2906789963427192,31155296,MSFT,<30,10-30%,<1%,-0.5 to -0.1
34.74,0.694,31.26,2.8,-2.8935,0.3025,-3.1961,2026-03-23,382.9800109863281,372.75,-2.6711605548241812,22361615,MSFT,30-40,30-50%,<1%,0.1 to 0.5
31.55,0.837,14.52,5.27,-4.5676,-0.4183,-4.1493,2026-03-24,372.75,371.0299987792969,-0.4614356058224356,34122116,MSFT,30-40,10-30%,<1%,-0.5 to -0.1
22.24,0.788,28.6,5.72,-4.2495,0.112,-4.3615,2026-03-25,371.0299987792969,365.75,-1.4230651959863838,26851432,MSFT,<30,10-30%,<1%,0.1 to 0.5
28.49,0.654,4.89,3.0,-4.1201,-0.0043,-4.1159,2026-03-26,365.75,356.6499938964844,-2.4880399462790526,30622843,MSFT,<30,<10%,<1%,-0.1 to 0
18.51,0.754,9.87,6.08,-5.3824,-0.4252,-4.9572,2026-03-27,356.6499938964844,358.760009765625,0.5916208902986941,31350300,MSFT,<30,<10%,<1%,-0.5 to -0.1
37.26,0.879,31.95,4.58,-3.8616,0.4028,-4.2644,2026-03-30,358.760009765625,370.1600036621094,3.177609986110741,35612618,MSFT,30-40,30-50%,<1%,0.1 to 0.5
72.67,0.994,91.53,5.16,0.2035,1.8648,-1.6613,2026-03-31,370.1600036621094,369.45001220703125,-0.1918066371444649,32673288,MSFT,>70,>90%,<1%,>0.5
73.65,0.842,64.84,5.59,1.2526,0.6155,0.6371,2026-04-01,369.45001220703125,373.5,1.0962207766010978,23494983,MSFT,>70,50-70%,<1%,>0.5
58.49,0.69,86.21,2.6,1.516,0.3796,1.1363,2026-04-02,373.5,372.8609924316406,-0.1710863636839033,18895256,MSFT,50-60,70-90%,<1%,0.1 to 0.5
59.81,0.65,73.04,1.83,1.3877,0.0206,1.3671,2026-04-06,372.8609924316406,372.2699890136719,-0.15850502733323335,13469224,MSFT,50-60,70-90%,<1%,0 to 0.1
45.75,0.646,66.07,1.46,0.5317,-0.2152,0.7469,2026-04-07,372.2699890136719,374.29998779296875,0.5453028283787686,16377058,MSFT,40-50,50-70%,<1%,-0.5 to -0.1
52.62,0.916,62.37,3.13,1.3052,-0.0347,1.3399,2026-04-08,374.29998779296875,373.010009765625,-0.3446374751305825,27066493,MSFT,50-60,50-70%,<1%,-0.1 to 0
51.07,1.007,54.65,3.51,0.1098,-0.2868,0.3966,2026-04-09,373.010009765625,370.8699951171875,-0.5737150726282558,25276407,MSFT,50-60,50-70%,1-2%,-0.5 to -0.1
41.91,0.747,36.01,2.92,-0.1518,-0.2177,0.0659,2026-04-10,370.8699951171875,384.3699951171875,3.6400895671633515,22799994,MSFT,40-50,30-50%,<1%,-0.5 to -0.1
81.73,0.651,96.4,5.46,2.8683,1.1931,1.6752,2026-04-13,384.3699951171875,393.1099853515625,2.2738482049594833,28701198,MSFT,>70,>90%,<1%,>0.5
86.8,0.821,79.99,9.39,5.5041,1.0446,4.4595,2026-04-14,393.1099853515625,411.2727966308594,4.620287440181325,31537114,MSFT,>70,70-90%,<1%,>0.5
84.69,0.962,83.16,11.98,9.4211,1.5789,7.8422,2026-04-15,411.2727966308594,420.0450134277344,2.132943600631232,38552049,MSFT,>70,70-90%,<1%,>0.5
89.06,0.986,79.06,10.49,9.5709,0.1912,9.3797,2026-04-16,420.0450134277344,422.6000061035156,0.6082663986251235,34587970,MSFT,>70,70-90%,<1%,0.1 to 0.5
66.73,0.971,67.15,6.12,8.2578,-0.9992,9.257,2026-04-17,422.6000061035156,418.1099853515625,-1.0624753163996137,40727613,MSFT,60-70,50-70%,<1%,<-0.5
46.72,0.823,32.46,3.6,4.0795,-1.9671,6.0466,2026-04-20,418.1099853515625,424.25,1.4685166256612536,22808125,MSFT,40-50,30-50%,<1%,<-0.5
54.15,0.733,60.09,3.55,4.0192,-0.5699,4.5892,2026-04-21,424.25,432.67999267578125,1.9870342193945234,26415074,MSFT,50-60,50-70%,<1%,<-0.5
81.75,0.729,82.98,5.19,4.6688,0.0089,4.6598,2026-04-22,432.67999267578125,415.75,-3.912820782648796,23425431,MSFT,>70,70-90%,<1%,0 to 0.1
38.8,1.004,14.69,5.97,-0.749,-2.1779,1.4288,2026-04-23,415.75,424.5799865722656,2.123869289781277,32921022,MSFT,30-40,10-30%,1-2%,<-0.5
39.3,1.023,56.57,6.15,-0.0303,0.1068,-0.1371,2026-04-24,424.5799865722656,425.05999755859375,0.11305549048681307,21792146,MSFT,30-40,50-70%,1-2%,0.1 to 0.5
74.57,0.726,76.49,3.61,0.9969,0.43,0.5669,2026-04-27,425.05999755859375,429.3599853515625,1.0116190226477473,23764152,MSFT,>70,70-90%,<1%,0.1 to 0.5
63.57,0.7,86.75,2.97,1.841,0.4573,1.3838,2026-04-28,429.3599853515625,424.5899963378906,-1.1109533203859656,25221495,MSFT,60-70,70-90%,<1%,0.1 to 0.5
48.85,0.709,39.07,1.99,0.3619,-0.4277,0.7896,2026-04-29,424.5899963378906,407.7799987792969,-3.9591129568715244,25285263,MSFT,40-50,30-50%,<1%,-0.5 to -0.1
26.09,1.221,26.1,10.47,-5.035,-1.615,-3.42,2026-04-30,407.7799987792969,414.510009765625,1.6504024244628601,56695254,MSFT,<30,10-30%,1-2%,<-0.5
38.83,1.265,52.46,8.1,-1.8916,0.9703,-2.8619,2026-05-01,414.510009765625,413.7099914550781,-0.1930033754792171,27164271,MSFT,30-40,50-70%,1-2%,>0.5
62.6,0.882,58.64,5.24,-0.9069,0.4249,-1.3318,2026-05-04,413.7099914550781,411.2699890136719,-0.5897857174839816,23454236,MSFT,60-70,50-70%,<1%,0.1 to 0.5
42.83,0.789,26.84,2.49,-1.4605,-0.0109,-1.4496,2026-05-05,411.2699890136719,413.760009765625,0.6054467426434007,19914436,MSFT,40-50,10-30%,<1%,-0.1 to 0
50.12,0.805,58.78,1.9,-0.3912,0.3684,-0.7597,2026-05-06,413.760009765625,420.989990234375,1.7473850295115279,32557719,MSFT,50-60,50-70%,<1%,0.1 to 0.5
66.55,1.033,72.3,5.18,2.2017,0.8212,1.3805,2026-05-07,420.989990234375,415.1499938964844,-1.387205509242484,28581663,MSFT,60-70,70-90%,1-2%,>0.5
52.29,0.91,34.68,4.01,0.1997,-0.6527,0.8524,2026-05-08,415.1499938964844,412.67999267578125,-0.5949659778434202,25501838,MSFT,50-60,30-50%,<1%,<-0.5
32.3,0.726,31.51,4.72,-1.3916,-0.6076,-0.784,2026-05-11,412.67999267578125,407.760009765625,-1.1922029169031179,22616513,MSFT,30-40,30-50%,<1%,<-0.5
31.98,0.782,18.49,3.07,-2.065,-0.352,-1.713,2026-05-12,407.760009765625,405.1199951171875,-0.6474432473049352,23511446,MSFT,30-40,10-30%,<1%,-0.5 to -0.1
30.99,0.71,26.19,2.94,-2.6273,-0.1382,-2.489,2026-05-13,405.1199951171875,409.4700012207031,1.0737574437068576,20436472,MSFT,30-40,10-30%,<1%,-0.5 to -0.1
53.64,0.733,71.84,2.35,-0.7424,0.7002,-1.4426,2026-05-14,409.4700012207031,422.0400085449219,3.0698237445344834,20390139,MSFT,50-60,70-90%,<1%,>0.5
75.92,0.991,76.86,8.22,3.8304,1.7211,2.1093,2026-05-15,422.0400085449219,423.6600036621094,0.3838487073234642,41060515,MSFT,>70,70-90%,<1%,>0.5
71.01,1.094,68.92,6.4,3.1587,0.1891,2.9696,2026-05-18,423.6600036621094,417.55999755859375,-1.4398352572315698,25457431,MSFT,>70,50-70%,1-2%,0.1 to 0.5
41.02,0.959,15.47,2.88,1.1791,-0.9221,2.1012,2026-05-19,417.55999755859375,421.05999755859375,0.8382028978982436,25402456,MSFT,40-50,10-30%,<1%,<-0.5
44.3,0.825,61.18,2.69,0.7252,-0.1544,0.8796,2026-05-20,421.05999755859375,419.0400085449219,-0.4797389980962907,21284916,MSFT,40-50,50-70%,<1%,-0.5 to -0.1
53.76,0.793,57.86,1.63,0.1936,-0.1699,0.3636,2026-05-21,419.0400085449219,418.5799865722656,-0.1097799645083164,22893438,MSFT,50-60,50-70%,<1%,-0.5 to -0.1
42.01,0.757,47.56,1.18,0.0963,-0.0758,0.1722,2026-05-22,418.5799865722656,415.7699890136719,-0.6713167491844807,17447932,MSFT,40-50,30-50%,<1%,-0.1 to 0
48.31,1.186,,,-0.1934,-0.1533,-0.0402,2026-03-03,180.0800018310547,182.91000366210938,1.5715247680359923,158510227,NVDA,40-50,,1-2%,-0.5 to -0.1
51.74,1.024,68.73,3.79,0.6519,0.2701,0.3818,2026-03-04,182.91000366210938,183.3300018310547,0.22962011947753602,156204399,NVDA,50-60,50-70%,1-2%,0.1 to 0.5
58.83,1.144,77.32,3.54,0.2264,-0.0364,0.2628,2026-03-05,183.3300018310547,177.69000244140625,-3.0764192076133345,179068005,NVDA,50-60,70-90%,1-2%,-0.1 to 0
35.54,1.317,-1.88,4.05,-0.5723,-0.4999,-0.0724,2026-03-06,177.69000244140625,182.63999938964844,2.785748708554636,161171464,NVDA,30-40,,1-2%,-0.5 to -0.1
47.63,1.109,79.35,3.86,-0.1341,0.2349,-0.3691,2026-03-09,182.63999938964844,184.75999450683594,1.160750725072357,152617535,NVDA,40-50,70-90%,1-2%,0.1 to 0.5
75.21,0.967,75.8,6.21,1.1185,0.4507,0.6678,2026-03-10,184.75999450683594,186.00999450683594,0.6765533866444073,156813884,NVDA,>70,70-90%,<1%,0.1 to 0.5
63.26,0.802,71.25,5.29,1.188,0.0778,1.1102,2026-03-11,186.00999450683594,183.00999450683594,-1.6128165628700897,118692876,NVDA,60-70,70-90%,<1%,0 to 0.1
43.36,0.806,16.3,2.72,0.2442,-0.3428,0.587,2026-03-12,183.00999450683594,180.26499938964844,-1.4999154142289028,132603249,NVDA,40-50,10-30%,<1%,-0.5 to -0.1
27.95,0.899,9.23,4.04,-0.67,-0.4931,-0.1769,2026-03-13,180.26499938964844,183.1300048828125,1.5893298770502051,146662359,NVDA,<30,<10%,<1%,-0.5 to -0.1
50.37,1.21,53.65,3.26,0.0401,0.0799,-0.0398,2026-03-16,183.1300048828125,181.9600067138672,-0.6388893888218949,131693222,NVDA,50-60,50-70%,1-2%,0 to 0.1
56.19,1.183,38.85,3.07,-0.1627,-0.0814,-0.0813,2026-03-17,181.9600067138672,180.35000610351562,-0.8848101511027662,137573347,NVDA,50-60,30-50%,1-2%,-0.1 to 0
28.99,0.787,-2.39,2.51,-0.4282,-0.1973,-0.2309,2026-03-18,180.35000610351562,178.5,-1.025786548880836,95233235,NVDA,<30,,<1%,-0.5 to -0.1
30.95,0.899,18.21,4.21,-1.1567,-0.2492,-0.9075,2026-03-19,178.5,173.0,-3.081232492997199,127133810,NVDA,30-40,10-30%,<1%,-0.5 to -0.1
20.94,0.977,9.26,7.11,-2.2616,-0.5406,-1.721,2026-03-20,173.0,175.50999450683594,1.45086387678377,176662207,NVDA,<30,<10%,<1%,<-0.5
41.36,0.987,38.97,4.51,-1.3228,0.2336,-1.5564,2026-03-23,175.50999450683594,175.30999755859375,-0.11395188564854442,163883904,NVDA,40-50,30-50%,<1%,0.1 to 0.5
57.9,0.919,50.2,2.89,-0.9647,0.2367,-1.2014,2026-03-24,175.30999755859375,178.6699981689453,1.9166052462173733,123014468,NVDA,50-60,50-70%,<1%,0.1 to 0.5
64.36,0.847,73.97,4.4,0.379,0.4874,-0.1084,2026-03-25,178.6699981689453,171.22999572753906,-4.164102825126347,147166957,NVDA,60-70,70-90%,<1%,0.1 to 0.5
35.39,0.997,7.91,6.3,-1.2893,-0.6208,-0.6685,2026-03-26,171.22999572753906,167.4600067138672,-2.201710627658182,155130942,NVDA,30-40,<10%,<1%,<-0.5
12.86,0.952,19.01,10.6,-2.5198,-0.5664,-1.9534,2026-03-27,167.4600067138672,165.05999755859375,-1.433183482056255,168881462,NVDA,<30,10-30%,<1%,<-0.5
22.88,0.979,19.28,7.15,-2.701,-0.1902,-2.5107,2026-03-30,165.05999755859375,174.3800048828125,5.646436121453524,157906103,NVDA,<30,10-30%,<1%,-0.5 to -0.1
73.91,1.141,94.79,7.26,0.1413,1.1861,-1.0448,2026-03-31,174.3800048828125,175.8000030517578,0.8143124952310732,184015591,NVDA,>70,>90%,1-2%,>0.5
82.41,1.033,72.63,10.41,1.4277,0.6434,0.7843,2026-04-01,175.8000030517578,177.39999389648438,0.9101199186302145,139801515,NVDA,>70,70-90%,1-2%,>0.5
62.01,0.89,77.35,4.59,1.4479,0.1739,1.274,2026-04-02,177.39999389648438,177.63999938964844,0.13529058704708774,126478622,NVDA,60-70,70-90%,<1%,0.1 to 0.5
60.0,0.793,83.1,1.88,1.1852,-0.065,1.2503,2026-04-06,177.63999938964844,178.09500122070312,0.2561370370513627,94233543,NVDA,50-60,70-90%,<1%,-0.1 to 0
54.21,0.746,95.84,1.93,0.5946,-0.1307,0.7253,2026-04-07,178.09500122070312,182.10000610351562,2.248802524136728,112413885,NVDA,50-60,>90%,<1%,-0.5 to -0.1
70.71,0.945,85.86,6.03,1.8212,0.3951,1.4261,2026-04-08,182.10000610351562,183.85000610351562,0.9610104016170018,126534650,NVDA,>70,70-90%,<1%,0.1 to 0.5
83.52,0.798,76.64,7.02,1.9972,0.1375,1.8597,2026-04-09,183.85000610351562,188.63999938964844,2.6053810862730398,98202367,NVDA,>70,70-90%,<1%,0.1 to 0.5
76.11,0.76,81.94,6.83,2.9234,0.2949,2.6285,2026-04-10,188.63999938964844,189.2100067138672,0.3021667334939693,143163443,NVDA,>70,70-90%,<1%,0.1 to 0.5
74.04,0.784,72.04,5.29,2.23,-0.2425,2.4726,2026-04-13,189.2100067138672,196.49000549316406,3.8475759848716873,112644453,NVDA,>70,70-90%,<1%,-0.5 to -0.1
89.6,0.7,96.22,6.49,3.3251,0.3849,2.9403,2026-04-14,196.49000549316406,198.8677978515625,1.210133997620133,140046144,NVDA,>70,>90%,<1%,0.1 to 0.5
