RSI,ATR_Pct,BB_Position,BB_Width,MACD,MACD_Hist,MACD_Signal,Date,ClosePrice,NextOpen,OvernightReturn,Volume,Ticker
86.8,0.821,79.99,9.39,5.5041,1.0446,4.4595,2026-04-14,393.1099853515625,411.2727966308594,4.620287440181325,31537114,MSFT
84.69,0.962,83.16,11.98,9.4211,1.5789,7.8422,2026-04-15,411.2727966308594,420.0450134277344,2.132943600631232,38552049,MSFT
89.06,0.986,79.06,10.49,9.5709,0.1912,9.3797,2026-04-16,420.0450134277344,422.6000061035156,0.6082663986251235,34587970,MSFT
66.73,0.971,67.15,6.12,8.2578,-0.9992,9.257,2026-04-17,422.6000061035156,418.1099853515625,-1.0624753163996137,40727613,MSFT
46.72,0.823,32.46,3.6,4.0795,-1.9671,6.0466,2026-04-20,418.1099853515625,424.25,1.4685166256612536,22808125,MSFT
54.15,0.733,60.09,3.55,4.0192,-0.5699,4.5892,2026-04-21,424.25,432.67999267578125,1.9870342193945234,26415074,MSFT
81.75,0.729,82.98,5.19,4.6688,0.0089,4.6598,2026-04-22,432.67999267578125,415.75,-3.912820782648796,23425431,MSFT
38.8,1.004,14.69,5.97,-0.749,-2.1779,1.4288,2026-04-23,415.75,424.5799865722656,2.123869289781277,32921022,MSFT
39.3,1.023,56.57,6.15,-0.0303,0.1068,-0.1371,2026-04-24,424.5799865722656,425.05999755859375,0.11305549048681307,21792146,MSFT
74.57,0.726,76.49,3.61,0.9969,0.43,0.5669,2026-04-27,425.05999755859375,429.3599853515625,1.0116190226477473,23764152,MSFT
63.57,0.7,86.75,2.97,1.841,0.4573,1.3838,2026-04-28,429.3599853515625,424.5899963378906,-1.1109533203859656,25221495,MSFT
48.85,0.709,39.07,1.99,0.3619,-0.4277,0.7896,2026-04-29,424.5899963378906,407.7799987792969,-3.9591129568715244,25285263,MSFT
26.09,1.221,26.1,10.47,-5.035,-1.615,-3.42,2026-04-30,407.7799987792969,414.510009765625,1.6504024244628601,56695254,MSFT
38.83,1.265,52.46,8.1,-1.8916,0.9703,-2.8619,2026-05-01,414.510009765625,413.7099914550781,-0.1930033754792171,27164271,MSFT
62.6,0.882,58.64,5.24,-0.9069,0.4249,-1.3318,2026-05-04,413.7099914550781,411.2699890136719,-0.5897857174839816,23454236,MSFT
42.83,0.789,26.84,2.49,-1.4605,-0.0109,-1.4496,2026-05-05,411.2699890136719,413.760009765625,0.6054467426434007,19914436,MSFT
50.12,0.805,58.78,1.9,-0.3912,0.3684,-0.7597,2026-05-06,413.760009765625,420.989990234375,1.7473850295115279,32557719,MSFT
66.55,1.033,72.3,5.18,2.2017,0.8212,1.3805,2026-05-07,420.989990234375,415.1499938964844,-1.387205509242484,28581663,MSFT
52.29,0.91,34.68,4.01,0.1997,-0.6527,0.8524,2026-05-08,415.1499938964844,412.67999267578125,-0.5949659778434202,25501838,MSFT
32.3,0.726,31.51,4.72,-1.3916,-0.6076,-0.784,2026-05-11,412.67999267578125,407.760009765625,-1.1922029169031179,22616513,MSFT
31.98,0.782,18.49,3.07,-2.065,-0.352,-1.713,2026-05-12,407.760009765625,405.1199951171875,-0.6474432473049352,23511446,MSFT
30.99,0.71,26.19,2.94,-2.6273,-0.1382,-2.489,2026-05-13,405.1199951171875,409.4700012207031,1.0737574437068576,20436472,MSFT
53.64,0.733,71.84,2.35,-0.7424,0.7002,-1.4426,2026-05-14,409.4700012207031,422.0400085449219,3.0698237445344834,20390139,MSFT
75.92,0.991,76.86,8.22,3.8304,1.7211,2.1093,2026-05-15,422.0400085449219,423.6600036621094,0.3838487073234642,41060515,MSFT
71.01,1.094,68.92,6.4,3.1587,0.1891,2.9696,2026-05-18,423.6600036621094,417.55999755859375,-1.4398352572315698,25457431,MSFT
41.02,0.959,15.47,2.88,1.1791,-0.9221,2.1012,2026-05-19,417.55999755859375,421.05999755859375,0.8382028978982436,25402456,MSFT
44.3,0.825,61.18,2.69,0.7252,-0.1544,0.8796,2026-05-20,421.05999755859375,419.0400085449219,-0.4797389980962907,21284916,MSFT
53.76,0.793,57.86,1.63,0.1936,-0.1699,0.3636,2026-05-21,419.0400085449219,418.5799865722656,-0.1097799645083164,22893438,MSFT
42.01,0.757,47.56,1.18,0.0963,-0.0758,0.1722,2026-05-22,418.5799865722656,415.7650146484375,-0.67250513978937,17447932,MSFT
47.49,1.003,,,-0.7829,-0.2162,-0.5667,2026-03-03,303.5400085449219,303.0299987792969,-0.1680206072569579,27615358,GOOGL
42.23,0.873,44.43,3.42,-0.3599,0.049,-0.4089,2026-03-04,303.0299987792969,300.79998779296875,-0.7359043643571095,22387208,GOOGL
38.12,0.703,40.56,2.75,-1.1941,-0.1792,-1.0149,2026-03-05,300.79998779296875,298.4800109863281,-0.7712689164859232,30041984,GOOGL
27.43,0.742,25.69,2.77,-1.1977,-0.0567,-1.141,2026-03-06,298.4800109863281,306.3699951171875,2.6433877782257253,21043035,GOOGL
70.76,0.79,122.22,2.93,0.3141,0.8978,-0.5837,2026-03-09,306.3699951171875,307.0400085449219,0.218694205833736,23369277,GOOGL
76.15,0.795,74.79,5.49,1.8012,0.6358,1.1654,2026-03-10,307.0400085449219,308.7099914550781,0.5438974933821727,18704598,GOOGL
58.41,0.673,66.53,4.34,1.8744,0.0427,1.8317,2026-03-11,308.7099914550781,303.510009765625,-1.6844228672170503,18108925,GOOGL
40.43,0.737,18.71,3.38,0.0117,-0.6334,0.6451,2026-03-12,303.510009765625,302.2200012207031,-0.42502998366282796,19551018,GOOGL
33.49,0.796,26.05,3.7,-0.7434,-0.5134,-0.23,2026-03-13,302.2200012207031,305.57000732421875,1.1084660479069974,19854601,GOOGL
55.69,0.708,78.01,1.99,0.0734,0.2679,-0.1944,2026-03-16,305.57000732421875,310.8500061035156,1.7279178756881786,11573680,GOOGL
76.34,0.592,97.27,3.74,1.3963,0.6881,0.7082,2026-03-17,310.8500061035156,307.7300109863281,-1.0036979430357529,11512449,GOOGL
57.84,0.573,51.15,2.95,1.0451,-0.1322,1.1772,2026-03-18,307.7300109863281,307.0799865722656,-0.21123205110189502,11165536,GOOGL
36.42,0.674,41.71,2.71,-0.0048,-0.3011,0.2963,2026-03-19,307.0799865722656,300.9700012207031,-1.989704838717854,13773521,GOOGL
31.58,0.808,21.48,4.62,-1.6671,-0.6913,-0.9758,2026-03-20,300.9700012207031,302.0199890136719,0.3488679232847458,27873815,GOOGL
37.89,0.821,39.0,3.08,-1.0483,0.0549,-1.1032,2026-03-23,302.0199890136719,290.4100036621094,-3.8441115733690467,23916448,GOOGL
27.02,0.912,3.25,6.02,-3.422,-0.9766,-2.4454,2026-03-24,290.4100036621094,290.9200134277344,0.17561714789218197,31457154,GOOGL
14.98,0.897,29.43,7.01,-3.3684,-0.09,-3.2783,2026-03-25,290.9200134277344,280.95001220703125,-3.4270592467093075,25618915,GOOGL
18.15,0.955,7.87,6.43,-4.7894,-0.6058,-4.1837,2026-03-26,280.95001220703125,274.2300109863281,-2.391885007554717,33884735,GOOGL
8.65,0.956,15.67,8.96,-5.6216,-0.4004,-5.2212,2026-03-27,274.2300109863281,273.510009765625,-0.2625537657652721,30132143,GOOGL
18.26,0.749,27.55,5.85,-4.7112,0.367,-5.0781,2026-03-30,273.510009765625,287.56500244140625,5.138748921045044,24780502,GOOGL
84.31,0.883,93.56,7.75,0.2641,2.1825,-1.9184,2026-03-31,287.56500244140625,297.4800109863281,3.4479190655135827,29985744,GOOGL
86.72,1.125,78.67,14.09,4.3561,1.8538,2.5023,2026-04-01,297.4800109863281,295.7900085449219,-0.5681062185667107,32383999,GOOGL
66.18,1.029,62.13,7.59,3.2214,-0.1273,3.3487,2026-04-02,295.7900085449219,300.02899169921875,1.4331055924267533,17339864,GOOGL
58.13,0.734,83.67,2.61,3.273,-0.0275,3.3005,2026-04-06,300.02899169921875,305.45001220703125,1.8068322254827685,12707235,GOOGL
89.29,0.736,99.36,4.19,3.3979,0.102,3.2958,2026-04-07,305.45001220703125,317.25,3.863148574690789,17596027,GOOGL
90.1,1.062,81.48,10.77,6.3808,0.9096,5.4712,2026-04-08,317.25,318.45001220703125,0.3782544387805453,27597570,GOOGL
71.7,1.058,69.41,8.96,5.2232,-0.2652,5.4884,2026-04-09,318.45001220703125,317.25,-0.3768290661113505,18029514,GOOGL
50.0,0.649,46.9,2.11,3.3856,-0.9096,4.2952,2026-04-10,317.25,321.3900146484375,1.3049691563238763,15608700,GOOGL
65.76,0.486,104.09,1.74,2.8164,-0.3723,3.1887,2026-04-13,321.3900146484375,332.92999267578125,3.590646100180539,14831460,GOOGL
91.48,0.641,87.45,8.15,5.2593,0.7673,4.492,2026-04-14,332.92999267578125,337.1499938964844,1.267534110335533,22081058,GOOGL
86.11,0.686,79.34,8.15,5.2119,0.0967,5.1151,2026-04-15,337.1499938964844,335.989990234375,-0.34406159961715144,19422609,GOOGL
61.28,0.613,67.32,2.36,3.7874,-0.7043,4.4917,2026-04-16,335.989990234375,341.6099853515625,1.6726674247846463,15476889,GOOGL
68.31,0.555,97.2,2.82,3.7026,-0.1325,3.8351,2026-04-17,341.6099853515625,337.3900146484375,-1.2353183115482058,20014989,GOOGL
56.54,0.534,39.31,2.27,2.0466,-0.7909,2.8375,2026-04-20,337.3900146484375,332.2799987792969,-1.5145723487001495,14468268,GOOGL
18.48,0.664,2.26,3.34,-0.1119,-1.1582,1.0464,2026-04-21,332.2799987792969,339.3699951171875,2.1337415324236497,18170864,GOOGL
54.84,0.685,76.77,2.69,0.7438,0.1502,0.5936,2026-04-22,339.3699951171875,339.0,-0.10902411011902702,15716867,GOOGL
67.91,0.678,65.22,3.16,0.9952,0.0509,0.9443,2026-04-23,339.0,344.2900085449219,1.5604744970270978,14554046,GOOGL
64.55,0.758,93.8,2.83,1.8263,0.456,1.3702,2026-04-24,344.2900085449219,350.3399963378906,1.757235947257918,22619677,GOOGL
78.57,0.749,75.77,6.32,3.7781,0.6971,3.0809,2026-04-27,350.3399963378906,349.8349914550781,-0.14414708228901452,23958639,GOOGL
66.09,0.704,58.93,4.45,2.5637,-0.433,2.9967,2026-04-28,349.8349914550781,350.0199890136719,0.052881376395275126,21861707,GOOGL
49.08,0.877,37.36,1.59,1.7021,-0.5253,2.2274,2026-04-29,350.0199890136719,385.1199951171875,10.028000458609409,25173341,GOOGL
82.94,1.68,91.8,16.36,9.7335,3.0482,6.6853,2026-04-30,385.1199951171875,385.69000244140625,0.1480077200471719,62936475,GOOGL
88.35,1.641,70.58,16.91,9.5086,0.2524,9.2562,2026-05-01,385.69000244140625,383.239990234375,-0.6352283418089022,26122253,GOOGL
42.39,0.837,50.05,2.91,6.1385,-1.3661,7.5046,2026-05-04,383.239990234375,388.4100036621094,1.3490276483340446,21366080,GOOGL
56.53,0.811,87.03,2.26,4.9124,-0.8957,5.8081,2026-05-05,388.4100036621094,397.79998779296875,2.4175443583651868,19020194,GOOGL
73.86,0.945,86.14,6.07,5.86,0.0082,5.8519,2026-05-06,397.79998779296875,398.0299987792969,0.05782076254055024,24781549,GOOGL
68.92,0.907,73.73,4.67,4.3248,-0.655,4.9797,2026-05-07,398.0299987792969,400.80999755859375,0.6984395115500641,19430348,GOOGL
59.93,0.672,96.08,1.76,3.6173,-0.4589,4.0761,2026-05-08,400.80999755859375,388.6400146484375,-3.0363471431066658,16302962,GOOGL
28.1,0.705,-5.37,3.32,0.2495,-1.5837,1.8332,2026-05-11,388.6400146484375,387.44000244140625,-0.30877217008052904,27470385,GOOGL
22.38,0.743,28.0,5.59,-1.8674,-1.0197,-0.8477,2026-05-12,387.44000244140625,402.6400146484375,3.923191232513479,19112286,GOOGL
76.26,0.795,87.0,6.61,2.5359,1.6057,0.9302,2026-05-13,402.6400146484375,401.1199951171875,-0.3775132813307658,22637959,GOOGL
72.66,0.877,69.18,6.88,2.2901,0.3167,1.9734,2026-05-14,401.1199951171875,396.7900085449219,-1.0794741286832665,17975190,GOOGL
35.53,0.774,24.78,2.42,0.6577,-0.6259,1.2837,2026-05-15,396.7900085449219,396.9599914550781,0.0428395137215265,15701079,GOOGL
42.76,0.996,28.62,2.56,0.7395,-0.4393,1.1788,2026-05-18,396.9599914550781,387.70001220703125,-2.3327235609069685,35473303,GOOGL
38.57,1.21,13.95,5.42,-2.2472,-1.1637,-1.0834,2026-05-19,387.70001220703125,388.8800048828125,0.30435714176637596,28739424,GOOGL
34.62,1.028,40.26,6.14,-2.7081,-0.1216,-2.5866,2026-05-20,388.8800048828125,387.6600036621094,-0.3137217664535785,23569115,GOOGL
49.89,0.89,46.53,2.14,-1.4388,0.4832,-1.922,2026-05-21,387.6600036621094,383.0,-1.2020852339905352,16867675,GOOGL
31.23,0.729,8.13,2.34,-2.0706,-0.2621,-1.8085,2026-05-22,383.0,387.9898986816406,1.3028456087834428,15197770,GOOGL
48.03,1.0,,,-0.6913,-0.1957,-0.4956,2026-03-03,303.54998779296875,303.19000244140625,-0.11859178588009556,16472292,GOOG
42.75,0.865,46.09,3.26,-0.2857,0.0512,-0.3369,2026-03-04,303.19000244140625,301.010009765625,-0.7190186543840738,14631079,GOOG
39.09,0.7,42.12,2.7,-1.1237,-0.1782,-0.9455,2026-03-05,301.010009765625,298.1700134277344,-0.9434890022766762,18407847,GOOG
27.1,0.75,23.01,2.84,-1.2428,-0.1039,-1.1389,2026-03-06,298.1700134277344,306.0199890136719,2.632717990550071,13784915,GOOG
67.46,0.789,121.4,2.87,0.2378,0.8778,-0.64,2026-03-09,306.0199890136719,306.8699951171875,0.27776162800843274,16913722,GOOG
76.79,0.774,75.34,5.49,1.7695,0.6575,1.1119,2026-03-10,306.8699951171875,308.4100036621094,0.5018439630547045,11043769,GOOG
58.64,0.65,66.58,4.32,1.8258,0.0436,1.7822,2026-03-11,308.4100036621094,303.17999267578125,-1.6957981013022039,10167264,GOOG
40.13,0.719,18.24,3.37,-0.0119,-0.6234,0.6115,2026-03-12,303.17999267578125,301.4649963378906,-0.5656693645100241,11551857,GOOG
32.34,0.787,23.73,3.8,-0.8518,-0.55,-0.3018,2026-03-13,301.4649963378906,304.42999267578125,0.9835292235943038,12918207,GOOG
53.47,0.7,72.19,1.89,-0.1873,0.2124,-0.3997,2026-03-16,304.42999267578125,309.3699951171875,1.6227055678667446,11612093,GOOG
75.57,0.557,96.53,3.5,1.1802,0.6878,0.4924,2026-03-17,309.3699951171875,306.239990234375,-1.0117351172426625,7730088,GOOG
56.94,0.542,49.19,2.88,0.8416,-0.1152,0.9568,2026-03-18,306.239990234375,305.67999267578125,-0.18286232250894763,6679914,GOOG
36.67,0.672,41.69,2.75,-0.1415,-0.26,0.1185,2026-03-19,305.67999267578125,298.8999938964844,-2.2180054114591896,7807914,GOOG
29.35,0.787,17.36,4.66,-1.798,-0.7075,-1.0905,2026-03-20,298.8999938964844,298.9700012207031,0.023421654616351262,20422469,GOOG
33.57,0.752,29.72,3.4,-1.5366,-0.0689,-1.4677,2026-03-23,298.9700012207031,288.989990234375,-3.3381312324244794,18873742,GOOG
27.23,0.821,6.76,5.89,-3.5562,-0.8087,-2.7474,2026-03-24,288.989990234375,289.5799865722656,0.20415805316029711,20533558,GOOG
